Time	Node	Type	Packets	
1	London	CacheHits	0
1	London	CacheMisses	10000
1	China	CacheHits	0
1	China	CacheMisses	0
1	Taipei	CacheHits	0
1	Taipei	CacheMisses	2
1	HongKong	CacheHits	0
1	HongKong	CacheMisses	2
1	Seoul	CacheHits	0
1	Seoul	CacheMisses	10002
1	Nagoya	CacheHits	0
1	Nagoya	CacheMisses	10002
1	Osaka	CacheHits	0
1	Osaka	CacheMisses	10002
1	Tokyo	CacheHits	0
1	Tokyo	CacheMisses	10003
1	Chennai	CacheHits	0
1	Chennai	CacheMisses	10002
1	Bangkok	CacheHits	0
1	Bangkok	CacheMisses	10002
1	KL	CacheHits	0
1	KL	CacheMisses	10002
1	Singapore	CacheHits	9833
1	Singapore	CacheMisses	9983
1	Jakarta	CacheHits	0
1	Jakarta	CacheMisses	2
1	Manila	CacheHits	0
1	Manila	CacheMisses	10002
1	Sydney	CacheHits	0
1	Sydney	CacheMisses	10003
1	Brisbane	CacheHits	0
1	Brisbane	CacheMisses	10003
1	Adelaide	CacheHits	0
1	Adelaide	CacheMisses	10003
1	Melbourne	CacheHits	0
1	Melbourne	CacheMisses	10003
1	Perth	CacheHits	0
1	Perth	CacheMisses	10004
1	Auckland	CacheHits	0
1	Auckland	CacheMisses	10004
1	SantaClara	CacheHits	0
1	SantaClara	CacheMisses	1
1	LA	CacheHits	19191
1	LA	CacheMisses	9855
1	Tribeca	CacheHits	0
1	Tribeca	CacheMisses	10002
1	SanJose	CacheHits	0
1	SanJose	CacheMisses	2
1	Ashburn	CacheHits	0
1	Ashburn	CacheMisses	10002
1	NewYork	CacheHits	0
1	NewYork	CacheMisses	2
2	London	CacheHits	0
2	London	CacheMisses	10000
2	China	CacheHits	0
2	China	CacheMisses	0
2	Taipei	CacheHits	0
2	Taipei	CacheMisses	0
2	HongKong	CacheHits	0
2	HongKong	CacheMisses	0
2	Seoul	CacheHits	0
2	Seoul	CacheMisses	10000
2	Nagoya	CacheHits	0
2	Nagoya	CacheMisses	10000
2	Osaka	CacheHits	0
2	Osaka	CacheMisses	10000
2	Tokyo	CacheHits	0
2	Tokyo	CacheMisses	10000
2	Chennai	CacheHits	0
2	Chennai	CacheMisses	10000
2	Bangkok	CacheHits	0
2	Bangkok	CacheMisses	10000
2	KL	CacheHits	0
2	KL	CacheMisses	10000
2	Singapore	CacheHits	10001
2	Singapore	CacheMisses	10000
2	Jakarta	CacheHits	0
2	Jakarta	CacheMisses	0
2	Manila	CacheHits	0
2	Manila	CacheMisses	10000
2	Sydney	CacheHits	0
2	Sydney	CacheMisses	10000
2	Brisbane	CacheHits	0
2	Brisbane	CacheMisses	10000
2	Adelaide	CacheHits	0
2	Adelaide	CacheMisses	10000
2	Melbourne	CacheHits	0
2	Melbourne	CacheMisses	10000
2	Perth	CacheHits	0
2	Perth	CacheMisses	10000
2	Auckland	CacheHits	0
2	Auckland	CacheMisses	10000
2	SantaClara	CacheHits	0
2	SantaClara	CacheMisses	0
2	LA	CacheHits	20000
2	LA	CacheMisses	10000
2	Tribeca	CacheHits	0
2	Tribeca	CacheMisses	10000
2	SanJose	CacheHits	0
2	SanJose	CacheMisses	0
2	Ashburn	CacheHits	0
2	Ashburn	CacheMisses	10000
2	NewYork	CacheHits	0
2	NewYork	CacheMisses	0
3	London	CacheHits	0
3	London	CacheMisses	10000
3	China	CacheHits	0
3	China	CacheMisses	0
3	Taipei	CacheHits	0
3	Taipei	CacheMisses	0
3	HongKong	CacheHits	0
3	HongKong	CacheMisses	0
3	Seoul	CacheHits	0
3	Seoul	CacheMisses	10000
3	Nagoya	CacheHits	0
3	Nagoya	CacheMisses	10000
3	Osaka	CacheHits	0
3	Osaka	CacheMisses	10000
3	Tokyo	CacheHits	0
3	Tokyo	CacheMisses	10000
3	Chennai	CacheHits	0
3	Chennai	CacheMisses	10000
3	Bangkok	CacheHits	0
3	Bangkok	CacheMisses	10000
3	KL	CacheHits	0
3	KL	CacheMisses	10000
3	Singapore	CacheHits	10000
3	Singapore	CacheMisses	10000
3	Jakarta	CacheHits	0
3	Jakarta	CacheMisses	0
3	Manila	CacheHits	0
3	Manila	CacheMisses	10000
3	Sydney	CacheHits	0
3	Sydney	CacheMisses	10000
3	Brisbane	CacheHits	0
3	Brisbane	CacheMisses	10000
3	Adelaide	CacheHits	0
3	Adelaide	CacheMisses	10000
3	Melbourne	CacheHits	0
3	Melbourne	CacheMisses	10000
3	Perth	CacheHits	0
3	Perth	CacheMisses	10000
3	Auckland	CacheHits	0
3	Auckland	CacheMisses	10000
3	SantaClara	CacheHits	0
3	SantaClara	CacheMisses	0
3	LA	CacheHits	20001
3	LA	CacheMisses	10000
3	Tribeca	CacheHits	0
3	Tribeca	CacheMisses	10000
3	SanJose	CacheHits	0
3	SanJose	CacheMisses	0
3	Ashburn	CacheHits	0
3	Ashburn	CacheMisses	10000
3	NewYork	CacheHits	0
3	NewYork	CacheMisses	0
4	London	CacheHits	0
4	London	CacheMisses	10000
4	China	CacheHits	0
4	China	CacheMisses	0
4	Taipei	CacheHits	0
4	Taipei	CacheMisses	0
4	HongKong	CacheHits	0
4	HongKong	CacheMisses	0
4	Seoul	CacheHits	0
4	Seoul	CacheMisses	10000
4	Nagoya	CacheHits	0
4	Nagoya	CacheMisses	10000
4	Osaka	CacheHits	0
4	Osaka	CacheMisses	10000
4	Tokyo	CacheHits	0
4	Tokyo	CacheMisses	10000
4	Chennai	CacheHits	0
4	Chennai	CacheMisses	10000
4	Bangkok	CacheHits	0
4	Bangkok	CacheMisses	10000
4	KL	CacheHits	0
4	KL	CacheMisses	10000
4	Singapore	CacheHits	10000
4	Singapore	CacheMisses	10000
4	Jakarta	CacheHits	0
4	Jakarta	CacheMisses	0
4	Manila	CacheHits	0
4	Manila	CacheMisses	10000
4	Sydney	CacheHits	0
4	Sydney	CacheMisses	10000
4	Brisbane	CacheHits	0
4	Brisbane	CacheMisses	10000
4	Adelaide	CacheHits	0
4	Adelaide	CacheMisses	10000
4	Melbourne	CacheHits	0
4	Melbourne	CacheMisses	10000
4	Perth	CacheHits	0
4	Perth	CacheMisses	10000
4	Auckland	CacheHits	0
