Time	Node	Type	Packets	
1	London	CacheHits	0
1	London	CacheMisses	999
1	China	CacheHits	0
1	China	CacheMisses	0
1	Taipei	CacheHits	0
1	Taipei	CacheMisses	2
1	HongKong	CacheHits	0
1	HongKong	CacheMisses	2
1	Seoul	CacheHits	0
1	Seoul	CacheMisses	532
1	Nagoya	CacheHits	0
1	Nagoya	CacheMisses	602
1	Osaka	CacheHits	0
1	Osaka	CacheMisses	602
1	Tokyo	CacheHits	0
1	Tokyo	CacheMisses	686
1	Chennai	CacheHits	0
1	Chennai	CacheMisses	583
1	Bangkok	CacheHits	0
1	Bangkok	CacheMisses	629
1	KL	CacheHits	0
1	KL	CacheMisses	525
1	Singapore	CacheHits	0
1	Singapore	CacheMisses	1981
1	Jakarta	CacheHits	0
1	Jakarta	CacheMisses	2
1	Manila	CacheHits	0
1	Manila	CacheMisses	631
1	Sydney	CacheHits	0
1	Sydney	CacheMisses	676
1	Brisbane	CacheHits	6
1	Brisbane	CacheMisses	672
1	Adelaide	CacheHits	0
1	Adelaide	CacheMisses	612
1	Melbourne	CacheHits	0
1	Melbourne	CacheMisses	610
1	Perth	CacheHits	0
1	Perth	CacheMisses	627
1	Auckland	CacheHits	0
1	Auckland	CacheMisses	625
1	SantaClara	CacheHits	0
1	SantaClara	CacheMisses	1
1	LA	CacheHits	0
1	LA	CacheMisses	3256
1	Tribeca	CacheHits	0
1	Tribeca	CacheMisses	1001
1	SanJose	CacheHits	0
1	SanJose	CacheMisses	2
1	Ashburn	CacheHits	0
1	Ashburn	CacheMisses	437
1	NewYork	CacheHits	0
1	NewYork	CacheMisses	2
2	London	CacheHits	0
2	London	CacheMisses	1000
2	China	CacheHits	0
2	China	CacheMisses	0
2	Taipei	CacheHits	0
2	Taipei	CacheMisses	0
2	HongKong	CacheHits	0
2	HongKong	CacheMisses	0
2	Seoul	CacheHits	0
2	Seoul	CacheMisses	336
2	Nagoya	CacheHits	0
2	Nagoya	CacheMisses	405
2	Osaka	CacheHits	0
2	Osaka	CacheMisses	405
2	Tokyo	CacheHits	5
2	Tokyo	CacheMisses	588
2	Chennai	CacheHits	0
2	Chennai	CacheMisses	368
2	Bangkok	CacheHits	0
2	Bangkok	CacheMisses	519
2	KL	CacheHits	0
2	KL	CacheMisses	293
2	Singapore	CacheHits	0
2	Singapore	CacheMisses	2000
2	Jakarta	CacheHits	0
2	Jakarta	CacheMisses	0
2	Manila	CacheHits	2
2	Manila	CacheMisses	519
2	Sydney	CacheHits	5
2	Sydney	CacheMisses	548
2	Brisbane	CacheHits	1
2	Brisbane	CacheMisses	554
2	Adelaide	CacheHits	0
2	Adelaide	CacheMisses	517
2	Melbourne	CacheHits	0
2	Melbourne	CacheMisses	283
2	Perth	CacheHits	0
2	Perth	CacheMisses	338
2	Auckland	CacheHits	0
2	Auckland	CacheMisses	337
2	SantaClara	CacheHits	0
2	SantaClara	CacheMisses	0
2	LA	CacheHits	0
2	LA	CacheMisses	3263
2	Tribeca	CacheHits	0
2	Tribeca	CacheMisses	1000
2	SanJose	CacheHits	0
2	SanJose	CacheMisses	0
2	Ashburn	CacheHits	0
2	Ashburn	CacheMisses	246
2	NewYork	CacheHits	0
2	NewYork	CacheMisses	0
3	London	CacheHits	0
3	London	CacheMisses	1000
3	China	CacheHits	0
3	China	CacheMisses	0
3	Taipei	CacheHits	0
3	Taipei	CacheMisses	0
3	HongKong	CacheHits	0
3	HongKong	CacheMisses	0
3	Seoul	CacheHits	0
3	Seoul	CacheMisses	502
3	Nagoya	CacheHits	0
3	Nagoya	CacheMisses	404
3	Osaka	CacheHits	0
3	Osaka	CacheMisses	406
3	Tokyo	CacheHits	2
3	Tokyo	CacheMisses	636
3	Chennai	CacheHits	0
3	Chennai	CacheMisses	151
3	Bangkok	CacheHits	0
3	Bangkok	CacheMisses	455
3	KL	CacheHits	0
3	KL	CacheMisses	114
3	Singapore	CacheHits	0
3	Singapore	CacheMisses	1982
3	Jakarta	CacheHits	0
3	Jakarta	CacheMisses	0
3	Manila	CacheHits	0
3	Manila	CacheMisses	686
3	Sydney	CacheHits	6
3	Sydney	CacheMisses	584
3	Brisbane	CacheHits	0
3	Brisbane	CacheMisses	675
3	Adelaide	CacheHits	0
3	Adelaide	CacheMisses	512
3	Melbourne	CacheHits	0
3	Melbourne	CacheMisses	616
3	Perth	CacheHits	0
3	Perth	CacheMisses	594
3	Auckland	CacheHits	0
3	Auckland	CacheMisses	595
3	SantaClara	CacheHits	0
3	SantaClara	CacheMisses	0
3	LA	CacheHits	0
3	LA	CacheMisses	3555
3	Tribeca	CacheHits	0
3	Tribeca	CacheMisses	1000
3	SanJose	CacheHits	0
3	SanJose	CacheMisses	0
3	Ashburn	CacheHits	0
3	Ashburn	CacheMisses	328
3	NewYork	CacheHits	0
3	NewYork	CacheMisses	0
4	London	CacheHits	0
