Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
1	London	combined	Drop	0	0	0	0
1	China	combined	Drop	0	0	0	0
1	Taipei	combined	Drop	0	0	0	0
1	HongKong	combined	Drop	0	0	0	0
1	Seoul	combined	Drop	0	0	0	0
1	Nagoya	combined	Drop	0	0	0	0
1	Osaka	combined	Drop	0	0	0	0
1	Tokyo	combined	Drop	376	83	471	104.877
1	Chennai	combined	Drop	0	0	0	0
1	Bangkok	combined	Drop	0	0	0	0
1	KL	combined	Drop	0	0	0	0
1	Singapore	combined	Drop	1427	1501	1784	1877.31
1	Jakarta	combined	Drop	0	0	0	0
1	Manila	combined	Drop	321	15	402	19.0762
1	Sydney	combined	Drop	64	31	80	39.0332
1	Brisbane	combined	Drop	102	4	128	6.03223
1	Adelaide	combined	Drop	0	0	0	0
1	Melbourne	combined	Drop	0	0	0	0
1	Perth	combined	Drop	0	0	0	0
1	Auckland	combined	Drop	0	0	0	0
1	SantaClara	combined	Drop	0	0	0	0
1	LA	combined	Drop	2406	2532	3008	3165.32
1	Tribeca	combined	Drop	0	0	0	0
1	SanJose	combined	Drop	0	0	0	0
1	Ashburn	combined	Drop	0	0	0	0
1	NewYork	combined	Drop	0	0	0	0
2	London	combined	Drop	0	0	0	0
2	China	combined	Drop	0	0	0	0
2	Taipei	combined	Drop	0	0	0	0
2	HongKong	combined	Drop	0	0	0	0
2	Seoul	combined	Drop	0	0	0	0
2	Nagoya	combined	Drop	0	0	0	0
2	Osaka	combined	Drop	216	10	270	12.9189
2	Tokyo	combined	Drop	700	118	782	127.024
2	Chennai	combined	Drop	0	0	0	0
2	Bangkok	combined	Drop	0	0	0	0
2	KL	combined	Drop	0	0	0	0
2	Singapore	combined	Drop	1745	1837	1825	1921.49
2	Jakarta	combined	Drop	0	0	0	0
2	Manila	combined	Drop	440	20	470	22.3584
2	Sydney	combined	Drop	226	56	267	63.1562
2	Brisbane	combined	Drop	198	9	222	10.6152
2	Adelaide	combined	Drop	0	0	0	0
2	Melbourne	combined	Drop	0	0	0	0
2	Perth	combined	Drop	0	0	0	0
2	Auckland	combined	Drop	0	0	0	0
2	SantaClara	combined	Drop	0	0	0	0
2	LA	combined	Drop	2906	3059	3031	3190.94
2	Tribeca	combined	Drop	0	0	0	0
2	SanJose	combined	Drop	0	0	0	0
2	Ashburn	combined	Drop	0	0	0	0
2	NewYork	combined	Drop	0	0	0	0
3	London	combined	Drop	0	0	0	0
3	China	combined	Drop	0	0	0	0
3	Taipei	combined	Drop	0	0	0	0
3	HongKong	combined	Drop	0	0	0	0
3	Seoul	combined	Drop	0	0	0	0
3	Nagoya	combined	Drop	0	0	0	0
3	Osaka	combined	Drop	341	16	373	17.7539
3	Tokyo	combined	Drop	1641	165	1877	177.374
3	Chennai	combined	Drop	0	0	0	0
3	Bangkok	combined	Drop	0	0	0	0
3	KL	combined	Drop	0	0	0	0
3	Singapore	combined	Drop	1794	1889	1807	1903.01
3	Jakarta	combined	Drop	0	0	0	0
3	Manila	combined	Drop	643	30	694	33.209
3	Sydney	combined	Drop	842	89	997	98.1455
3	Brisbane	combined	Drop	593	28	692	33.0732
3	Adelaide	combined	Drop	0	0	0	0
3	Melbourne	combined	Drop	0	0	0	0
3	Perth	combined	Drop	0	0	0	0
3	Auckland	combined	Drop	0	0	0	0
3	SantaClara	combined	Drop	0	0	0	0
3	LA	combined	Drop	3240	3411	3324	3500.06
3	Tribeca	combined	Drop	0	0	0	0
3	SanJose	combined	Drop	0	0	0	0
3	Ashburn	combined	Drop	0	0	0	0
3	NewYork	combined	Drop	0	0	0	0
4	London	combined	Drop	0	0	0	0
4	China	combined	Drop	0	0	0	0
4	Taipei	combined	Drop	0	0	0	0
4	HongKong	combined	Drop	0	0	0	0
4	Seoul	combined	Drop	0	0	0	0
4	Nagoya	combined	Drop	0	0	0	0
4	Osaka	combined	Drop	623	29	694	33.1826
4	Tokyo	combined	Drop	1512	142	1480	136.282
4	Chennai	combined	Drop	0	0	0	0
4	Bangkok	combined	Drop	0	0	0	0
4	KL	combined	Drop	0	0	0	0
4	Singapore	combined	Drop	1798	1894	1800	1896.23
4	Jakarta	combined	Drop	0	0	0	0
4	Manila	combined	Drop	674	32	682	32.5
4	Sydney	combined	Drop	819	79	814	77.2764
4	Brisbane	combined	Drop	446	21	410	19.6152
4	Adelaide	combined	Drop	0	0	0	0
4	Melbourne	combined	Drop	0	0	0	0
4	Perth	combined	Drop	0	0	0	0
4	Auckland	combined	Drop	0	0	0	0
4	SantaClara	combined	Drop	0	0	0	0
4	LA	combined	Drop	3307	3482	3324	3500.53
4	Tribeca	combined	Drop	0	0	0	0
4	SanJose	combined	Drop	0	0	0	0
4	Ashburn	combined	Drop	0	0	0	0
4	NewYork	combined	Drop	0	0	0	0
5	London	combined	Drop	0	0	0	0
5	China	combined	Drop	0	0	0	0
5	Taipei	combined	Drop	0	0	0	0
5	HongKong	combined	Drop	0	0	0	0
5	Seoul	combined	Drop	0	0	0	0
5	Nagoya	combined	Drop	0	0	0	0
5	Osaka	combined	Drop	675	32	689	32.8545
5	Tokyo	combined	Drop	1949	149	2059	150.805
5	Chennai	combined	Drop	0	0	0	0
5	Bangkok	combined	Drop	0	0	0	0
5	KL	combined	Drop	0	0	0	0
5	Singapore	combined	Drop	1809	1906	1812	1909.29
5	Jakarta	combined	Drop	0	0	0	0
5	Manila	combined	Drop	686	32	690	33.0176
5	Sydney	combined	Drop	542	56	473	50.9014
5	Brisbane	combined	Drop	459	21	463	22.1494
5	Adelaide	combined	Drop	0	0	0	0
5	Melbourne	combined	Drop	0	0	0	0
5	Perth	combined	Drop	0	0	0	0
5	Auckland	combined	Drop	0	0	0	0
5	SantaClara	combined	Drop	0	0	0	0
5	LA	combined	Drop	3319	3496	3323	3500
5	Tribeca	combined	Drop	0	0	0	0
5	SanJose	combined	Drop	0	0	0	0
5	Ashburn	combined	Drop	0	0	0	0
5	NewYork	combined	Drop	0	0	0	0
6	London	combined	Drop	0	0	0	0
6	China	combined	Drop	0	0	0	0
6	Taipei	combined	Drop	0	0	0	0
6	HongKong	combined	Drop	0	0	0	0
6	Seoul	combined	Drop	0	0	0	0
6	Nagoya	combined	Drop	0	0	0	0
6	Osaka	combined	Drop	690	32	694	33.209
6	Tokyo	combined	Drop	1991	156	2002	158.237
6	Chennai	combined	Drop	0	0	0	0
6	Bangkok	combined	Drop	0	0	0	0
6	KL	combined	Drop	0	0	0	0
6	Singapore	combined	Drop	1822	1920	1826	1924.64
6	Jakarta	combined	Drop	0	0	0	0
6	Manila	combined	Drop	688	32	689	32.8486
6	Sydney	combined	Drop	621	59	641	59.9365
6	Brisbane	combined	Drop	364	17	341	16.3174
6	Adelaide	combined	Drop	0	0	0	0
6	Melbourne	combined	Drop	0	0	0	0
