Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
1	London	combined	Drop	0	0	0	0
1	China	combined	Drop	0	0	0	0
1	Taipei	combined	Drop	0	0	0	0
1	HongKong	combined	Drop	0	0	0	0
1	Seoul	combined	Drop	0	0	0	0
1	Nagoya	combined	Drop	0	0	0	0
1	Osaka	combined	Drop	36	1	46	2.20117
1	Tokyo	combined	Drop	379	146	474	183.472
1	Chennai	combined	Drop	0	0	0	0
1	Bangkok	combined	Drop	0	0	0	0
1	KL	combined	Drop	0	0	0	0
1	Singapore	combined	Drop	1427	1501	1784	1877.31
1	Jakarta	combined	Drop	0	0	0	0
1	Manila	combined	Drop	321	15	402	19.0762
1	Sydney	combined	Drop	98	63	123	79.2676
1	Brisbane	combined	Drop	104	4	131	6.22363
1	Adelaide	combined	Drop	0	0	0	0
1	Melbourne	combined	Drop	0	0	0	0
1	Perth	combined	Drop	0	0	0	0
1	Auckland	combined	Drop	0	0	0	0
1	SantaClara	combined	Drop	0	0	0	0
1	LA	combined	Drop	2396	2522	2996	3152.72
1	Tribeca	combined	Drop	0	0	0	0
1	SanJose	combined	Drop	0	0	0	0
1	Ashburn	combined	Drop	0	0	0	0
1	NewYork	combined	Drop	0	0	0	0
2	London	combined	Drop	0	0	0	0
2	China	combined	Drop	0	0	0	0
2	Taipei	combined	Drop	0	0	0	0
2	HongKong	combined	Drop	0	0	0	0
2	Seoul	combined	Drop	0	0	0	0
2	Nagoya	combined	Drop	0	0	0	0
2	Osaka	combined	Drop	550	26	679	32.3525
2	Tokyo	combined	Drop	1345	277	1587	310.192
2	Chennai	combined	Drop	0	0	0	0
2	Bangkok	combined	Drop	0	0	0	0
2	KL	combined	Drop	0	0	0	0
2	Singapore	combined	Drop	1745	1837	1825	1921.49
2	Jakarta	combined	Drop	0	0	0	0
2	Manila	combined	Drop	368	17	380	18.1426
2	Sydney	combined	Drop	759	139	925	158.814
2	Brisbane	combined	Drop	216	10	245	11.6777
2	Adelaide	combined	Drop	0	0	0	0
2	Melbourne	combined	Drop	0	0	0	0
2	Perth	combined	Drop	0	0	0	0
2	Auckland	combined	Drop	0	0	0	0
2	SantaClara	combined	Drop	0	0	0	0
2	LA	combined	Drop	3109	3273	3288	3461.54
2	Tribeca	combined	Drop	0	0	0	0
2	SanJose	combined	Drop	0	0	0	0
2	Ashburn	combined	Drop	0	0	0	0
2	NewYork	combined	Drop	0	0	0	0
3	London	combined	Drop	0	0	0	0
3	China	combined	Drop	0	0	0	0
3	Taipei	combined	Drop	0	0	0	0
3	HongKong	combined	Drop	0	0	0	0
3	Seoul	combined	Drop	0	0	0	0
3	Nagoya	combined	Drop	0	0	0	0
3	Osaka	combined	Drop	658	31	685	32.751
3	Tokyo	combined	Drop	1981	359	2141	380.336
3	Chennai	combined	Drop	0	0	0	0
3	Bangkok	combined	Drop	0	0	0	0
3	KL	combined	Drop	0	0	0	0
3	Singapore	combined	Drop	1794	1889	1807	1903.01
3	Jakarta	combined	Drop	0	0	0	0
3	Manila	combined	Drop	619	29	682	32.6348
3	Sydney	combined	Drop	722	150	713	153.907
3	Brisbane	combined	Drop	237	11	243	11.5781
3	Adelaide	combined	Drop	0	0	0	0
3	Melbourne	combined	Drop	0	0	0	0
3	Perth	combined	Drop	0	0	0	0
3	Auckland	combined	Drop	0	0	0	0
3	SantaClara	combined	Drop	0	0	0	0
3	LA	combined	Drop	3272	3445	3313	3488.39
3	Tribeca	combined	Drop	0	0	0	0
3	SanJose	combined	Drop	0	0	0	0
3	Ashburn	combined	Drop	0	0	0	0
3	NewYork	combined	Drop	0	0	0	0
4	London	combined	Drop	0	0	0	0
4	China	combined	Drop	0	0	0	0
4	Taipei	combined	Drop	0	0	0	0
4	HongKong	combined	Drop	0	0	0	0
4	Seoul	combined	Drop	0	0	0	0
4	Nagoya	combined	Drop	0	0	0	0
4	Osaka	combined	Drop	561	26	537	25.6582
4	Tokyo	combined	Drop	1615	368	1524	371.376
4	Chennai	combined	Drop	0	0	0	0
4	Bangkok	combined	Drop	0	0	0	0
4	KL	combined	Drop	0	0	0	0
4	Singapore	combined	Drop	1798	1894	1800	1896.23
4	Jakarta	combined	Drop	0	0	0	0
4	Manila	combined	Drop	670	31	683	32.5527
4	Sydney	combined	Drop	551	185	509	194.688
4	Brisbane	combined	Drop	193	9	182	8.66406
4	Adelaide	combined	Drop	0	0	0	0
4	Melbourne	combined	Drop	0	0	0	0
4	Perth	combined	Drop	0	0	0	0
4	Auckland	combined	Drop	0	0	0	0
4	SantaClara	combined	Drop	0	0	0	0
4	LA	combined	Drop	3312	3488	3323	3499.55
4	Tribeca	combined	Drop	0	0	0	0
4	SanJose	combined	Drop	0	0	0	0
4	Ashburn	combined	Drop	0	0	0	0
4	NewYork	combined	Drop	0	0	0	0
5	London	combined	Drop	0	0	0	0
5	China	combined	Drop	0	0	0	0
5	Taipei	combined	Drop	0	0	0	0
5	HongKong	combined	Drop	0	0	0	0
5	Seoul	combined	Drop	0	0	0	0
5	Nagoya	combined	Drop	0	0	0	0
5	Osaka	combined	Drop	660	31	685	32.7363
5	Tokyo	combined	Drop	2110	364	2234	364.043
5	Chennai	combined	Drop	0	0	0	0
5	Bangkok	combined	Drop	0	0	0	0
5	KL	combined	Drop	0	0	0	0
5	Singapore	combined	Drop	1809	1906	1812	1909.29
5	Jakarta	combined	Drop	0	0	0	0
5	Manila	combined	Drop	675	32	677	32.3955
5	Sydney	combined	Drop	843	112	917	94.2656
5	Brisbane	combined	Drop	248	11	262	12.5059
5	Adelaide	combined	Drop	0	0	0	0
5	Melbourne	combined	Drop	0	0	0	0
5	Perth	combined	Drop	0	0	0	0
5	Auckland	combined	Drop	0	0	0	0
5	SantaClara	combined	Drop	0	0	0	0
5	LA	combined	Drop	3320	3497	3323	3499.98
5	Tribeca	combined	Drop	0	0	0	0
5	SanJose	combined	Drop	0	0	0	0
5	Ashburn	combined	Drop	0	0	0	0
5	NewYork	combined	Drop	0	0	0	0
6	London	combined	Drop	0	0	0	0
6	China	combined	Drop	0	0	0	0
6	Taipei	combined	Drop	0	0	0	0
6	HongKong	combined	Drop	0	0	0	0
6	Seoul	combined	Drop	0	0	0	0
6	Nagoya	combined	Drop	0	0	0	0
6	Osaka	combined	Drop	559	37	534	39.6406
6	Tokyo	combined	Drop	1480	489	1323	520.427
6	Chennai	combined	Drop	0	0	0	0
6	Bangkok	combined	Drop	0	0	0	0
6	KL	combined	Drop	0	0	0	0
6	Singapore	combined	Drop	1822	1920	1826	1924.64
6	Jakarta	combined	Drop	0	0	0	0
6	Manila	combined	Drop	620	29	607	28.9551
6	Sydney	combined	Drop	483	225	393	254.028
6	Brisbane	combined	Drop	124	5	94	4.4707
6	Adelaide	combined	Drop	0	0	0	0
6	Melbourne	combined	Drop	0	0	0	0
